Lypla1	1	4807788	4848410
Tcea1	1	4857814	4897909
Atp6v1h	1	5070018	5162529
Rb1cc1	1	6206197	6276648
Pcmtd1	1	7088920	7173628
Rrs1	1	9545408	9547455
Mybl1	1	9667415	9700209
Vcpip1	1	9718622	9748382
Sgk3	1	9798107	9900845
Mcmdc2	1	9908638	9942085
Cops5	1	10024601	10038168
Cspp1	1	10037987	10136768
Arfgef1	1	10137571	10232670
Sulf1	1	12692277	12861192
Ncoa2	1	13139105	13374083
Tram1	1	13564698	13589910
Lactb2	1	13623330	13660546
Eya1	1	14168954	14310235
Terf1	1	15805646	15844052
Rdh10	1	16105774	16133734
Stau2	1	16228674	16520112
Ube2w	1	16540790	16619489
Eloc	1	16641725	16657042
Tmem70	1	16665207	16678275
Ly96	1	16688051	16709611
Pkhd1	1	20057779	20618064
Mcm3	1	20802968	20820312
Paqr8	1	20890606	20939650
Tram2	1	20996299	21079229
Tmem14a	1	21218575	21230167
Gsta3	1	21240589	21265661
Ogfrl1	1	23366424	23397772
Smap1	1	23844846	23922317
Sdhaf4	1	23995939	24005656
Fam135a	1	24011093	24100341
Col19a1	1	24261890	24587472
Lmbrd1	1	24678630	24766301
Phf3	1	30802339	30873921
Ptp4a1	1	30940302	30949770
Prim2	1	33453810	33669795
Rab23	1	33719887	33742564
Bag2	1	33745484	33757795
Zfp451	1	33761545	33814595
Dst	1	33908225	34308661
Ccdc115	1	34436670	34439672
Imp4	1	34439851	34449356
Ptpn18	1	34459762	34475733
Fam168b	1	34813219	34843065
Plekhb2	1	34849976	34879580
Hs6st1	1	36068400	36106446
Uggt1	1	36140027	36244720
Neurl3	1	36264597	36274679
Arid5a	1	36307733	36324029
Kansl3	1	36335730	36369181
Lman2l	1	36419871	36445271
Cnnm4	1	36471620	36508764
Cnnm3	1	36511867	36528237
Ankrd39	1	36537507	36547445
Sema4c	1	36548639	36558349
Cox5b	1	36691449	36693681
Actr1b	1	36698114	36714422
Zap70	1	36761798	36782818
Tmem131	1	36792191	36943666
Inpp4a	1	37299865	37410736
Coa5	1	37417084	37430103
Unc50	1	37430139	37439124
Mgat4a	1	37439340	37541016
2010300C02Rik	1	37611677	37720085
Tsga10	1	37754776	37866429
Lipt1	1	37871738	37876228
Mitd1	1	37874801	37890411
Txndc9	1	37985189	37997893
Eif5b	1	37998010	38055579
Rev1	1	38052786	38129801
Aff3	1	38177326	38664955
Chst10	1	38863867	38898161
Pdcl3	1	38985608	38997238
Npas2	1	39193731	39363236
Tbc1d8	1	39371492	39478755
Cnot11	1	39534992	39546889
Rnf149	1	39551296	39577405
Map4k4	1	39900913	40026310
Il1r2	1	40074079	40125231
Il1r1	1	40225080	40317257
Il1rl2	1	40324610	40367562
Il1rl1	1	40429570	40465415
Il18r1	1	40465552	40500854
Il18rap	1	40515362	40551705
Slc9a4	1	40580081	40630725
Slc9a2	1	40680574	40769273
Mfsd9	1	40772038	40790687
Tgfbrap1	1	43047200	43098637
AI597479	1	43098710	43115947
Fhl2	1	43123074	43196984
Nck2	1	43444579	43570515
Uxs1	1	43746966	43827800
Tpp2	1	43933647	44003000
Tex30	1	44086613	44102441
Kdelc1	1	44106546	44118808
Bivm	1	44118957	44144770
Ercc5	1	44147744	44181260
Col3a1	1	45311538	45349706
Col5a2	1	45374321	45503282
Wdr75	1	45795166	45823619
Slc40a1	1	45908068	45926523
Slc39a10	1	46807544	46892852
Tmeff2	1	50900647	51187270
Nabp1	1	51465862	51478425
Myo1b	1	51749765	51916071
Stat4	1	51987148	52107189
Stat1	1	52119440	52161865
Gls	1	52163448	52233232
Nab1	1	52457294	52500679
Nemp2	1	52630703	52651919
Mfsd6	1	52656286	52727462
Inpp1	1	52785427	52817688
Hibch	1	52844929	52920986
Pms1	1	53189187	53297018
Ormdl1	1	53297095	53310309
Osgepl1	1	53313624	53326343
Asnsd1	1	53344617	53352752
Stk17b	1	53755506	53785224
Gtf3c3	1	54396004	54438971
Pgap1	1	54472994	54557684
Ankrd44	1	54645340	54926387
Sf3b1	1	54985169	55027481
Coq10b	1	55052770	55072702
Hspd1	1	55077835	55088243
Hspe1	1	55088132	55091307
Mob4	1	55131231	55154899
Mars2	1	55237177	55248470
Plcl1	1	55405921	55754285
Satb2	1	56793981	56978650
1700066M21Rik	1	57377620	57385423
Tyw5	1	57388237	57407101
Maip1	1	57406328	57417953
Spats2l	1	57774162	57948394
Kctd18	1	57955101	58018956
Aox1	1	58029931	58106413
Bzw1	1	58392898	58407353
Clk1	1	58410189	58424066
Ppil3	1	58430994	58445486
Nif3l1	1	58445151	58481816
Orc2	1	58462771	58505109
Fam126b	1	58522806	58586323
Ndufb3	1	58586384	58595964
Cflar	1	58711508	58758884
Casp8	1	58795374	58847503
Trak2	1	58900449	58973430
Stradb	1	58973522	58995715
Tmem237	1	59100590	59120408
Als2	1	59162926	59237231
Fzd7	1	59482424	59486955
Sumo1	1	59586558	59670834
Nop58	1	59684971	59719044
Bmpr2	1	59763400	59879014
